title,content
실럽급여 받는 중 취업 햇을 시,3차 실업급여일이 2월 26일이고 현재 4차 진행 중인 상태입니다.그 진행중에 취업을 해서 취업 신고를 하게 되면 실업급여는 중단되지만근무 시작한 날까지의 일급을 계산해서 급여를 준다단데 맞나요
산재 취업치료 휴업급여 질문,식당에서 일하던중 손가락 열상으로 산재를 승인받았습니다서류상에서는 취업치료가능이라 되어있었지만주방일 특성상 손가락 사용이 어려워 6일정도 휴무를 하였습니다일단 신청이느 해보자해서 휴업급여신청을 넣었더니 바로처리가 되어서 입금까지 하루도 안걸렸습니다 근로복지공단에서 심사후에 처리한거기 때문에 상관없는거 맞겠죠??
"학사경고 취업,편입에 문제되나요?","신입인데 1학기에 학고받을거같습니다(학교를 못나감)그리고 2학기 휴학할건데취업,편입에 문제될수있을까요?편입은 문제될거같은데 학점은행제로하면상관없죠?"
실업급여 수급 중 취업,안녕하세요실업급여 2회차까지 받았는데 이번에 취업을 했어요3회차 실업인정일에 취업 신고와 실업급여 신청 둘 다 하지 않을 예정인데 안하면 어떻게 되나요? 취업을 했으니 실업급여 신청은 당연히 안할건데.. 취업 신고도 안하면 문제가 생기나요? 자동 종결인가요? 귀찮아요 ㅠ ㅠ
토스와 오픽 중 어떤 게 더 취업에... ,"취업 준비하면서 토스와 오픽 중 어떤 시험을 봐야 할지 고민 중입니다. 두 시험 다 장단점이 있는 것 같은데, 실제 취업 시장에서 어떤 게 더 유리하게 작용하는지 궁금해요. 특히 제가 지원하려는 분야는 외국계 기업 쪽인데, 토스만 있어도 충분할지 아니면 오픽 점수도 같이 준비해야 할지 고민입니다. 실제로 면접 보셨거나 서류 넣어보신 분들, 어떤 시험 점수가 더 도움이 되었는지 경험담 듣고 싶어요. 둘 다 준비하는 게 현실적으로 가능할지도 조언 부탁드립니다!"
전기산업기사 취업,나이 50에 전기산업기사 자격증을 취득했습니다경기 안양쪽인 인덕원에서취업하고 싶은데 어찌해야하나요?
실업급여 받는 도중 취업,1월 14일부터 2월 12일까지 6회차 실업급여 기간인데2월 5일에 취업을 했습니다그럼 1월14일부터 2월4일까지의 돈은 나오는건가요?
실업급여 취업후 퇴사,실업급여 받는도중 취업을해서 취업사실 신고후 실업급여를 받고 일하다가 안맞아서 퇴사를 했습니다취업은 1월6일 근무후 2월18일날 퇴사를하였고 다시 실업급여 신청을 못했는데 지금 다시 신청에도 되는건가요~?#고용보험#노무사#실업급여#고용보험
성범죄자 취업제한제도,성범죄자 취업제한 제도 풀수있죠?풀수 있으면 법원에 반성문이랑 장애인증만 들고 가나요?
절도죄 기소유예 되었는데 어린이집 취업... ,"25년도에 절도죄로 기소유예형을 받았습니다.  올해 어린이집 취업을 하고자 하는데 ""성범죄경력 및 아동학대범죄전력조회회신서""를 기관에서 온라인으로 발급을 할 예정입니다.제가 알고 싶은 내용은 단, 두 가지 입니다. 1. 성범죄경력 및 아동학대범죄전력조회회신서에 절도죄 기소유예에 대한 내용이 확인이 되나요?2. 어린이집에 취업하고자 할 때 절도죄 기소유예로 인해 취업제한에 체크 표시가 되어 출력이 될까요?어떤 지식인 답변에서는 절도죄는 취업제한에 포함 안된다고 하는 답변도 있고, 어떤 답변은 절도죄는 아동학대범죄경력에 포함된다는 답변도 있어서 정확히 알고자 질문 남깁니다."
