번호,병원_약국명,전화번호,소재지주소
1,대자인병원,063-240-2000,전라북도 전주시 덕진구 견훤로 390 (우아동3가)
2,부안성모병원,063-581-5100,전라북도 부안군 부안읍 오정2길 24 ()
3,의료법인 오성의료재단 동군산병원,063-440-0300,전라북도 군산시 조촌로 149  (조촌동)
4,의료법인석천재단고창병원,063-560-5600,전라북도 고창군 고창읍 화신1길 9 ()
5,의료법인영경의료재단전주병원,063-220-7200,"전라북도 전주시 완산구 한두평3길 13 (중화산동2가, 전주병원)"
6,익산병원,063-840-9114,전라북도 익산시 무왕로 969 (신동)
7,재단법인 아산사회복지재단 정읍아산병원,063-530-6000,전라북도 정읍시 충정로 606-22 (용계동)
8,재단법인예수병원유지재단예수병원,063-230-8114,"전라북도 전주시 완산구 서원로 365 (중화산동1가, 예수병원)"
9,전라북도 군산의료원,063-472-5000,"전라북도 군산시 의료원로 27 (지곡동, 군산의료원)"
10,전라북도 남원의료원,063-620-1114,전라북도 남원시 충정로 365 (고죽동)
11,전주고려병원,063-240-7300,전라북도 전주시 덕진구 안덕원로 367 (산정동)
12,(의)동아의료재단동아병원,063-770-7700,전라북도 김제시 요촌1길 97 (요촌동)
13,김제병원,063-770-8275,전라북도 김제시 중앙로 55  (서암동)
14,김제우석병원,063-540-5114,전라북도 김제시 서암4길 45 (서암동)
15,나은병원,063-859-7708,전라북도 익산시 무왕로 1004  (영등동)
16,남원병원,063-631-0119,전라북도 남원시 충정로 115 (향교동)
17,남원성일병원,063-634-8898,전라북도 남원시 사매면 춘향로 822-129 ()
18,다사랑병원,063-228-5540,전라북도 전주시 완산구 백제대로 74 (삼천동1가)
19,더세움병원,063-243-9100,전라북도 전주시 덕진구 서가재미2길 7  (인후동1가)
20,동산병원,063-856-5522,전라북도 익산시 중앙로 141 (마동)
21,드림솔병원,063-250-8000,전라북도 전주시 완산구 천잠로 507 (효자동3가)
22,미래병원,063-545-0090,전라북도 김제시 금구면 낙산1길 74-1 ()
23,미르아동병원,063-229-0114,전라북도 전주시 완산구 백제대로 100 (효자동1가)
24,미르피아여성병원,063-211-1004,전라북도 전주시 완산구 쑥고개로 343 (효자동2가)
25,믿음병원,063-543-5119,전라북도 김제시 금성로 90-0 (신풍동)
26,박종혁믿음병원,063-224-5100,전라북도 전주시 완산구 홍산로 250-0 (효자동3가)
27,본병원,063-220-0300,전라북도 전주시 완산구 유연로 276 (중화산동2가)
28,부안21세기병원,063-583-3366,전라북도 부안군 부안읍 석정로 171 ()
29,부안드림병원,063-580-6700,전라북도 부안군 부안읍 번영로 189-0 드림병원
30,삼남재활의학과병원,063-222-8080,전라북도 전주시 완산구 영경3길 6  (중화산동2가)
31,석정웰파크병원,063-560-1000,전라북도 고창군 고창읍 석정2로 147 ()
32,수병원,063-251-7200,전라북도 전주시 완산구 서원로 63 (효자동2가)
33,신세계병원,063-545-8700,전라북도 김제시 금산면 구성5길 84-15 ()
34,엠마오사랑병원,063-230-5300,전라북도 전주시 완산구 서원로 402-35 (중화산동1가)
35,온고을재활의학과병원,063-710-3300,전라북도 전주시 완산구 완산길 100 (서완산동1가)
36,온누리아동병원,063-839-5500,전라북도 익산시 동서로 491 (어양동)
37,온누리안과병원,063-277-2774,"전라북도 전주시 완산구 백제대로 325-0 1동 (중화산동2가,온누리안과)"
38,원광병원,063-270-1114,전라북도 전주시 덕진구 가련산로 99 (덕진동2가)
39,유로병원,063-231-6565,전라북도 전주시 완산구 효자로 169 (효자동3가)
40,유앤미 병원,063-279-1500,전라북도 전주시 완산구 백제대로 361 (서신동)
